['x', 'z']
[9.623595254872118, 19.94476608648568]
[8.841059399346431, 16.328643118432172]
[9.297611262330987, 18.538009565259795]
[8.297126390856572, 13.315791018488223]
[8.165302142777374, 12.497109899574344]
[9.08337755579462, 17.546252433968736]
[10.887592283113095, 24.492391389301368]
[10.067936250391906, 21.63105683922747]
[9.364602878251619, 18.791729217340897]
[8.413546162830308, 14.008382728412222]
[9.185387586588606, 18.026235107992495]
[8.017331542567037, 11.528028799592631]
[9.492474909984882, 19.392284020807597]
[8.648032981642512, 15.31985755226025]
[8.352122320009194, 13.649073083428375]
[8.636610128731323, 15.27226119245518]
[8.304982330535381, 13.366099306234767]
[8.23267356172686, 12.923323024886141]
[10.882908026315734, 24.54344517794738]
[10.08813260689303, 21.704661055410913]
[9.384209427182316, 18.875446796142214]
[8.443504721599234, 14.182441358309163]
[9.507340589987413, 19.456916861955058]
[8.673131370819005, 15.455412710117484]
[8.484340002856335, 14.424454315271213]
[10.144402091678804, 21.985447595481677]
[9.469998289059102, 19.245823654046774]
[8.59548132956977, 15.03361950399622]
